127.0.0.1 - - [13/Jun/2022:13:26:05 +0900] "GET / HTTP/1.1" 200 50842
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:18 +0900] "POST /test/test4.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:18 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /board/categoryBoard.do?currentPage=1&mainCategory=%EC%95%85%EA%B8%B0 HTTP/1.1" 200 28545
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/animate.css HTTP/1.1" 200 73641
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/owl.theme.default.min.css HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/magnific-popup.css HTTP/1.1" 200 6950
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/aos.css HTTP/1.1" 200 25983
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/ionicons.min.css HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/flaticon.css HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/icomoon.css HTTP/1.1" 200 79875
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:28 +0900] "GET /resources/css/ngpStyle.css HTTP/1.1" 200 252906
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:29 +0900] "GET /resources/js/jquery.timepicker.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:29 +0900] "POST /test/test4.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [13/Jun/2022:13:26:30 +0900] "GET /boardRest/enrollrestCategory.do?mainCategory=%EC%95%85%EA%B8%B0 HTTP/1.1" 200 442
